to hear,I can hear the birds singing.
so,I was tired so I slept.
question,I have one question for you.
during,I sleep during long car trips.
work,My mom goes to work early.
to play,I love to play outside.
government,The government builds new schools.
to run,I like to run in the park.
small,The cat is very small.
number,What is your favorite number?
off,Please turn off the light.
always,She always drinks water.
to move,Help me move this box.
to like,I like to eat apples.
night,The stars shine at night.
to live,Fish live in the water.
Mr.,Mr. Brown is my teacher.
point,Can you point to the map?
to believe,I believe you can do it.
to hold,Please hold my hand.
today,Today is a sunny day.
to bring,Please bring your book tomorrow.
to happen,Good things can happen today.
next,She sits next to me.
without,I cannot sleep without my pillow.
before,Wash your hands before eating.
large,The elephant is a large animal.
all,All the kids are playing.
million,A million is a big number.
must,You must brush your teeth.
home,I go home after school.
under,The dog is under the table.
water,Please drink more water.
room,My room is very clean.
to write,I like to write stories.
mother,My mother makes great food.
area,This area has many trees.
national,We sang the national song.
money,She saved her money.
story,Tell me a fun story.
young,The puppy is very young.
fact,That is an interesting fact.
month,My birthday is next month.
different,We all have different ideas.
lot,I have a lot of books.
right,Turn right at the corner.
study,I study English every day.
book,She is reading a good book.
eye,She has a blue eye.
job,My dad has a good job.
word,I learned a new word.
though,It is cold; I like winter though.
business,She has a small business.
issue,We solved the issue together.
side,Sit on my side please.
kind,She is a kind person.
four,I have four colored pencils.
head,My head hurts today.
far,The school is far from here.
black,The cat is black.
long,This road is very long.
both,Both children are happy.
little,She has a little dog.
house,My house has three rooms.
yes,Yes; I want more juice.
after,We play after school.
since,I have studied since morning.
long,Her hair is very long.
to provide,The school will provide books.
service,The service here is great.
around,The dog runs around the house.
friend,My friend likes to read.
important,Sleep is very important.
father,My father cooks on Sundays.
to sit,Please sit on the chair.
away,The park is far away.
until,Wait here until I return.
power,The storm cut the power.
hour,Class lasts one hour.
game,This game is so fun.
often,I often eat rice.
yet,I have not eaten yet.
line,Stand in a straight line.
political,It was a political speech.
end,The movie has a sad end.
among,She is among her friends.
ever,Have you ever seen snow?
to stand,Please stand up now.
bad,Eating too much sugar is bad.
to lose,I do not want to lose.
however,It is hot; however it rains.
member,She is a club member.
to pay,I need to pay the bill.
law,Everyone must follow the law.
to meet,I will meet my friend today.
car,My father drives a red car.
city,Our city has a big park.
almost,Dinner is almost ready.
to include,Please include your name here.
to continue,Let us continue the story.
to set,She will set the table.
later,We can talk later.
community,Our community is very united.
much,I like this game very much.
name,What is your name?
five,I have five colored pencils.
once,I read this book once.
white,The white cat is very cute.
least,She has at least two pencils.
president,The president lives in a big house.
to learn,I want to learn English.
real,This is a real diamond.
to change,I need to change my shirt.
team,Our team won the game.
minute,Wait just one minute please.
best,She is the best student in class.
several,I read several books this month.
idea,That is a great idea!
kid,Every kid loves ice cream.
body,Exercise is good for your body.
information,I need more information about this.
nothing,There is nothing in the box.
ago,We met two years ago.
right,Turn right at the school.
to lead,She will lead our group today.
social,He has good social skills.
to understand,I do not understand this question.
whether,I don't know whether it will rain.
back,Please sit in the back row.
to watch,I like to watch funny movies.
together,We work better together.
to follow,Follow the teacher to the library.
around,The dog runs around the yard.
parent,Every parent loves their child.
only,She is the only girl here.
to stop,Please stop talking in class.
face,Wash your face before breakfast.
anything,I can eat anything for lunch.
to create,We will create a fun project.
public,The public park is very big.
already,I already finished my homework.
to speak,I want to speak in English.
others,Be kind to others at school.
to read,I love to read adventure books.
level,This game has ten levels.
to allow,The teacher will allow one question.
to add,Add the numbers on the board.
office,The principal is in the office.
to spend,I like to spend time with friends.
door,Please close the door quietly.
health,Eating vegetables is good for health.
person,She is a very kind person.
art,I love art class on Fridays.
sure,Are you sure about your answer?
such,She is such a good friend.
war,War makes many people very sad.
history,History is my favorite subject.
party,I love going to a party.
within,Stay within the school area.
to grow,Plants grow with water and sun.
result,The result of the test was good.
to open,Please open the door for me.
change,I need to change my shoes.
morning,I eat breakfast every morning.
to walk,I like to walk in the park.
reason,What is the reason you are late?
low,The shelf is too low for me.
to win,I want to win this game.
research,She did research about animals.
girl,The girl has a red backpack.
guy,That guy is very funny.
early,I woke up early today.
food,I love eating delicious food.
before,Wash your hands before eating.
moment,Wait just one moment please.
himself,He did the homework himself.
air,The air outside is very fresh.
teacher,My teacher is very kind.
force,The force of the wind is strong.
to offer,I want to offer you some juice.
enough,I have enough pencils for class.
both,Both my friends like soccer.
education,Education is very important for everyone.
across,She ran across the street carefully.
although,I went out although it was cold.
to remember,Try to remember your new words.
foot,I hurt my foot playing soccer.
second,I finished in second place today.
boy,The boy kicked the ball hard.
maybe,Maybe we can play later today.
toward,She walked toward the school gate.
able,I am able to swim very well.
age,My age is ten years old.
off,Please turn off the lights now.
policy,Our school has a no-phone policy.
everything,I put everything in my backpack.
to love,I love spending time with friends.
process,Cooking is a fun process.
music,I listen to music every day.
including,Everyone came; including my best friend.
to consider,You should consider studying every day.
to appear,A rainbow can appear after rain.
actually,This test is actually very easy.
to buy,I want to buy a new book.
probably,It will probably rain this afternoon.
human,Every human needs water to live.
to wait,Please wait for me outside.
to serve,I serve food at the table.
market,We buy fruit at the market.
to die,The old tree will die soon.
to send,I will send a letter to her.
to expect,I expect good news today.
home,I go home after school.
sense,That does not make sense to me.
to build,They want to build a new school.
to stay,Please stay here with me.
to fall,The leaves fall in autumn.
oh,Oh! I forgot my book today.
nation,Brazil is a big and beautiful nation.
plan,We have a plan for the trip.
to cut,She will cut the cake now.
college,My sister studies at college.
interest,I have an interest in science.
death,The death of the bird made us sad.
course,This is a great English course.
someone,Someone left a bag at the door.
experience,She has experience with animals.
behind,He left his bag behind at school.
to reach,I cannot reach the top shelf.
local,We eat at the local restaurant.
to kill,The cold weather can kill plants.
six,I have six books on my desk.
to remain,Please remain calm during the test.
effect,Rain has a good effect on plants.
use,Can I use your pencil please?
yeah,Yeah! That is a great idea.
to suggest,I suggest we play outside today.
class,My class has thirty students.
control,She has control of the situation.
to raise,We raise our hands in class.
care,Take care when you cross the street.
perhaps,Perhaps we can go to the park.
little,My little brother loves dinosaurs.
late,Do not be late for school today.
hard,Math can be hard but fun.
field,The children play in the green field.
else,What else do you want to eat?
to pass,I hope to pass the English test.
former,The former teacher was very kind.
to sell,They sell fresh bread every morning.
major,Reading is a major skill for students.
sometimes,I sometimes eat lunch in the garden.
to require,This game does require two players.
along,She walked along the river with friends.
development,Reading helps the development of the brain.
themselves,The kids made the cake themselves.
to report,Students must report any problem to teachers.
role,She has an important role in the play.
better,I feel better today than yesterday.
economic,The economic news is good for everyone.
effort,He made a big effort to finish.
up,The cat jumped up on the table.
to decide,You need to decide now.
rate,The heart rate of the runner was high.
strong,She is very strong for her age.
possible,Is it possible to finish today?
heart,The heart pumps blood through the body.
drug,The doctor gave him a new drug.
show,The show starts at seven o'clock.
leader,Our leader spoke to the whole group.
light,Please turn on the light in here.
voice,She has a beautiful singing voice.
wife,His wife made a delicious cake.
whole,He ate the whole pizza by himself.
police,The police helped the lost child.
mind,Keep your mind focused on the task.
finally,We finally arrived at the beach.
to pull,Please pull the door to open it.
to return,He will return home after school.
free,The tickets to the park are free.
military,The military parade was very impressive.
price,The price of this toy is too high.
report,She wrote a report about animals.
less,I eat less candy than my brother.
according,According to the teacher; class starts now.
decision,Making a good decision takes some time.
to explain,Can you explain this math problem?
son,Her son loves playing football outside.
to hope,I hope we win the game today.
even,Even my little sister can do this.
to develop,Scientists develop new medicines every year.
view,The view from the mountain was beautiful.
relationship,A good relationship is based on trust.
to carry,Can you carry this bag for me?
town,There is a nice park in our town.
road,The road to school is very long.
to drive,My dad loves to drive on weekends.
arm,He broke his arm during the game.
true,Is it true that fish can't blink?
federal,The federal government helps many cities.
to break,Try not to break that glass plate.
better,She sings better than anyone in class.
difference,There is a big difference between them.
to thank,I want to thank you for helping.
to receive,Did you receive my letter last week?
value,Kindness is a value we must keep.
international,English is an international language today.
building,The building is very tall.
action,He took action to help.
full,My bag is full of books.
model,She made a model of a house.
to join,I want to join the team.
season,Summer is my favorite season.
society,We all live in a society.
because,I smiled because I was happy.
tax,My dad pays tax every year.
director,The director made a great film.
early,She woke up early today.
position,He plays in the front position.
player,The player kicked the ball hard.
to agree,I agree with your idea.
especially,I love fruit; especially mangoes.
record,He broke the school record.
to pick,Please pick a color you like.
to wear,I wear a hat in summer.
paper,She wrote on a piece of paper.
special,Today is a very special day.
space,There is space for one more.
ground,The ball rolled on the ground.
form,Please fill out this form.
to support,Friends support each other always.
event,The school event was so fun.
official,The official rules are very clear.
whose,Whose book is on the desk?
matter,Water is a matter of life.
everyone,Everyone in class was very happy.
center,The park is in the center.
couple,A couple of kids played outside.
site,The site has great information.
to end,The movie will end soon.
project,Our project is about animals.
to hit,Do not hit the table hard.
to base,We base our work on facts.
activity,My favorite activity is painting.
star,I saw a bright star last night.
table,Put your books on the table.
need,I need water after the race.
court,The players ran on the court.
to produce,Farms produce fresh food daily.
to eat,I eat breakfast every morning.
American,She loves American music a lot.
to teach,My teacher loves to teach us.
oil,Add a little oil to cook.
half,I ate half of my sandwich.
situation,It was a difficult situation for us.
easy,This exercise is easy for me.
cost,The book did not cost much.
industry,The car industry makes many vehicles.
figure,She drew a figure on the paper.
to face,He had to face a big problem.
street,The children play on the street.
image,The image on the screen is clear.
itself,The cat cleaned itself after eating.
phone,She called her mom on the phone.
either,You can take either the red or blue pen.
data,The scientist collected data for the study.
to cover,Please cover the pot with a lid.
quite,The test was quite easy today.
picture,He drew a picture of his family.
clear,The water in the lake is very clear.
practice,She needs more practice on the piano.
piece,Can I have a piece of cake?
land,The farmer worked on his land.
recent,Did you see the recent news?
to describe,Can you describe your house?
product,This product is made in Brazil.
doctor,The doctor checked the sick child.
wall,He painted the wall yellow.
patient,The patient waited to see the doctor.
worker,The worker carried heavy boxes all day.
news,She watched the news with her parents.
test,He studied hard for the test.
movie,We watched a funny movie last night.
certain,I am certain that she is right.
north,They traveled north to find snow.
love,I love spending time with my family.
personal,Keep your personal things in your bag.
open,Please open the window; it is hot.
support,Friends support each other in hard times.
simply,She simply smiled and walked away.
third,She finished in third place in the race.
technology,New technology helps us learn faster.
to catch,He tried to catch the ball.
step,Take one step forward please.
baby,The baby smiled at her mother.
computer,She uses a computer to do homework.
type,What type of music do you like?
attention,Please pay attention to the teacher.
to draw,She loves to draw animals in class.
film,We watched a great film at school.
Republican,The Republican senator spoke on television.
tree,The kids climbed the big tree.
source,The sun is a source of light.
red,She wore a red dress to the party.
nearly,He nearly missed the school bus.
organization,She joined a local organization to help animals.
to choose,You can choose any book you like.
to cause,Pollution can cause many problems.
hair,She has long and beautiful hair.
look,Take a look at this picture.
to point,He used a stick to point at the map.
century,This building is one century old.
evidence,The police found evidence at the scene.
window,Please open the window; it is hot.
difficult,This math problem is very difficult.
to listen,You should listen to your teacher.
soon,We will eat dinner very soon.
culture,Brazil has a very rich culture.
billion,There are eight billion people on Earth.
chance,Give me one chance to explain.
brother,My brother plays soccer every day.
energy,The sun gives us light and energy.
period,We have a free period after lunch.
course,This is my favorite course at school.
summer,We swim at the beach in summer.
less,Eat less sugar to stay healthy.
to realize,I did not realize it was so late.
hundred,There are one hundred students here.
available,The book is available at the library.
plant,Water this plant every day.
likely,It is likely to rain today.
opportunity,This is a great opportunity to learn.
term,We start a new term next week.
short,The short boy sat in front.
letter,She wrote a letter to her friend.
condition,The road is in bad condition.
choice,You have to make a good choice.
to place,Please place your bag on the table.
single,There is not a single cloud today.
rule,There is one rule: be kind.
daughter,Her daughter loves to read books.
administration,The school administration solved the problem.
south,They traveled to the south of Brazil.
husband,Her husband cooks dinner every night.
Congress,Congress makes the laws of the country.
floor,The cat is sleeping on the floor.
campaign,The campaign raised money for the school.
material,Cotton is a soft and light material.
population,The population of Brazil is very large.
well,She speaks English very well.
call,Mom will call us for dinner soon.
economy,A strong economy helps all people.
medical,He needs medical help right now.
hospital,The doctor works at the hospital.
church,The old church is near the park.
to close,Please close the door when you leave.
thousand,A thousand people came to the show.
risk,Taking a risk can be dangerous.
current,The current situation is very complex.
fire,The fire destroyed the old house.
future,I think about my future every day.
wrong,That answer is completely wrong.
to involve,Try not to involve your friends in trouble.
defense,The team played great defense today.
anyone,Can anyone help me with this?
to increase,We need to increase our study time.
security,The school has good security cameras.
bank,My mom keeps money in the bank.
myself,I made this drawing by myself.
certainly,I will certainly finish my homework.
west,The sun sets in the west.
sport,My favorite sport is football.
board,Write your name on the board.
to seek,I seek new adventures every summer.
per,We walk five miles per day.
subject,Math is my hardest subject.
officer,The officer helped the lost child.
private,This is my private journal.
rest,You need to rest after school.
behavior,Good behavior is important in class.
to deal,It is hard to deal with problems.
performance,Her performance in the play was amazing.
to fight,We should never fight at school.
to throw,Can you throw me the ball?
top,Put the book on top of the desk.
quickly,Please come here quickly.
past,Walk past the school to the park.
goal,My goal is to learn English well.
second,I finished in second place.
bed,I go to bed at nine.
order,Please keep your room in order.
author,My favorite author writes adventure books.
to fill,Fill the glass with water please.
to represent,She will represent our school in the contest.
to focus,Try to focus during the lesson.
foreign,I want to learn a foreign language.
to drop,Don't drop your lunch on the floor.
to plan,Let's plan our trip together.
blood,The nurse checked my blood pressure.
upon,Once upon a time there was a dragon.
agency,The travel agency helped us plan the trip.
to push,Don't push other kids at school.
nature,I love walking in nature.
color,My favorite color is blue.
no,There is no milk in the fridge.
recently,I recently learned how to swim.
store,Let's go to the store after school.
to reduce,We need to reduce the noise.
sound,I heard a loud sound outside.
to note,Please note the date on the board.
fine,The weather is fine today.
before,Wash your hands before eating.
near,The school is near my house.
movement,The dancer made a slow movement.
page,Open your book to page ten.
to enter,Please enter the room quietly.
to share,Let us share the cookies equally.
than,She is taller than her brother.
common,Dogs are a common pet.
poor,The poor kitten was lost outside.
other,Please choose the other color.
natural,Honey is a natural food.
race,The children ran a fun race.
concern,Her concern was about the test.
series,I watched a series of videos.
significant,She made a significant improvement.
similar,My bag is similar to yours.
hot,The soup is very hot today.
language,English is a useful language.
each,Each student has a notebook.
usually,I usually wake up at seven.
response,His response to the question was correct.
dead,The dead leaves fell to the ground.
to rise,The sun will rise at six.
animal,The dog is a friendly animal.
factor,Sleep is an important factor for health.
decade,A decade has ten years.
article,I read an article about dolphins.
to shoot,He wants to shoot the basketball.
east,The sun rises in the east.
to save,We must save water every day.
seven,I have seven colored pencils.
artist,The artist painted a beautiful picture.
away,The bird flew away quickly.
scene,The last scene of the film was sad.
stock,The store has a large stock of books.
career,She wants a career in music.
despite,He smiled despite feeling tired.
central,The park is in the central area.
eight,I have eight crayons in my box.
thus,She studied hard; thus she passed.
treatment,The doctor gave a good treatment.
beyond,The forest is beyond the river.
happy,I am happy to see you.
exactly,That is exactly the right answer.
to protect,We must protect the environment.
approach,The cat took a slow approach.
to lie,She likes to lie on the grass.
size,What size are your shoes?
dog,My dog is very friendly.
fund,The school has a fund for books.
serious,She has a serious look on her face.
to occur,Storms occur in the summer.
media,The media shows news every day.
ready,Are you ready for the test?
sign,I saw a sign on the door.
thought,She had a good thought about it.
list,Write a list of your friends.
individual,Each individual has a different name.
simple,This exercise is very simple.
quality,This book is of great quality.
pressure,He felt pressure before the test.
to accept,She will accept the gift happily.
answer,Please answer the question now.
hard,Math can be very hard sometimes.
resource,Water is an important resource.
to identify,Can you identify the animal?
left,Turn left at the school.
meeting,We have a meeting after class.
to determine,We need to determine the answer.
to prepare,Let us prepare for the trip.
disease,This disease spreads very quickly.
whatever,Do whatever makes you happy.
success,Hard work leads to success.
to argue,They argue about the game often.
cup,She drank a cup of tea.
particularly,I particularly like chocolate cake.
amount,A large amount of rain fell.
ability,She has the ability to sing.
staff,The staff at the school is kind.
to recognize,I can recognize my friend anywhere.
to indicate,The arrow can indicate the way.
character,The main character is very brave.
growth,Plants need water for growth.
loss,The loss of the game was sad.
degree,It is thirty degrees outside today.
to wonder,I wonder what is for lunch.
attack,The dog did not attack anyone.
herself,She made the cake herself.
region,This region has many tall trees.
television,We watch television after dinner.
box,Put your toys in the box.
TV,She watches TV every evening.
training,He does training every morning.
pretty,The garden is very pretty today.
trade,Countries trade food and goods.
deal,We made a deal to share.
election,The election decided our new leader.
everybody,Everybody is happy today.
physical,We have physical education on Monday.
to lay,Please lay the book on the table.
general,The general idea is very simple.
feeling,I have a good feeling about this.
standard,This is the standard way to do it.
bill,Dad paid the electricity bill today.
message,She sent me a message this morning.
to fail,I do not want to fail the test.
outside,The kids are playing outside.
to arrive,We will arrive at school early.
analysis,The analysis of the data was clear.
benefit,Exercise is a benefit for your health.
to name,Can you name all the planets?
sex,The form asks for your age and sex.
forward,Please step forward when I call you.
lawyer,The lawyer spoke in front of the judge.
to present,She will present her project today.
section,Read the first section of the book.
environmental,Pollution is an environmental problem.
glass,Please drink a glass of water.
to answer,He did not answer the question.
skill,Reading is an important skill.
sister,My sister loves to draw.
PM,The meeting starts at 3 PM.
professor,The professor explained the lesson clearly.
operation,The doctor performed a small operation.
financial,My parents handle all financial decisions.
crime,Stealing is a crime.
stage,She walked onto the stage and sang.
ok,Is it ok to sit here?
to compare,Let us compare the two answers.
authority,The teacher has authority in the classroom.
to miss,I miss my grandmother very much.
design,I love the design of this notebook.
sort,What sort of music do you like?
one,I have one brother.
to act,It is time to act and help others.
ten,I have ten fingers on my hands.
knowledge,Reading increases your knowledge.
gun,The police officer carried a gun.
station,We met at the bus station.
blue,The sky is blue today.
to state,Please state your full name.
strategy,We need a strategy to win the game.
little,She has a little cat at home.
clearly,Please speak clearly in class.
to discuss,We will discuss the story in class.
indeed,This is indeed a beautiful day.
force,Nobody can force you to lie.
truth,Always tell the truth.
song,I love this song.
example,Give me an example please.
democratic,A democratic country respects everyone.
check,Please check your answers.
truth,The truth is important.
environment,We must protect the environment.
leg,My leg hurts after running.
dark,The room is very dark.
public,The park is a public place.
various,There are various fruits here.
rather,I would rather drink water.
laugh,That joke makes me laugh.
guess,Can you guess my number?
executive,The executive works in an office.
set,She has a set of pencils.
study,I study English every day.
prove,Can you prove that is true?
hang,Let us hang the picture here.
entire,She ate the entire sandwich.
rock,He threw a rock in the river.
design,She wants to design a dress.
enough,I have enough water thank you.
forget,Do not forget your homework.
since,I have lived here since 2020.
claim,He claims the bike is his.
note,Write a note for your teacher.
remove,Please remove your shoes inside.
manager,The manager opened the store.
help,Can you help me please?
close,Please close the door slowly.
sound,That music sounds really nice.
enjoy,I enjoy reading good books.
network,The school has a fast network.
legal,That rule is not legal here.
religious,She goes to a religious school.
cold,The water is very cold today.
form,We form a line before class.
final,This is the final question.
main,This is the main street here.
science,I love my science class.
green,The grass is green and fresh.
memory,She has a great memory.
card,I gave her a birthday card.
above,The bird flew above the tree.
seat,Please take your seat now.
cell,Every plant has a tiny cell.
establish,They want to establish a club.
nice,She is a very nice person.
trial,The team had one final trial.
expert,She is an expert in science.
that,I know that you are right.
spring,Flowers bloom in spring.
firm,He has a firm handshake.
Democrat,The Democrat voted for the new law.
radio,We listen to music on the radio.
to visit,I want to visit my grandma.
management,Good management helps the team work well.
to care,I care about my friends.
to avoid,Try to avoid eating too much sugar.
to imagine,I like to imagine flying in the sky.
tonight,We are watching a movie tonight.
huge,The elephant is huge.
ball,The kids kicked the ball hard.
no,There is no milk in the fridge.
close,Please close the door gently.
to finish,I need to finish my homework.
yourself,Believe in yourself always.
talk,We had a long talk after school.
theory,The teacher explained a new theory.
impact,The news had a big impact on us.
to respond,Please respond to my question.
statement,She made a clear statement in class.
to maintain,It is important to maintain good habits.
charge,Who is in charge of this group?
popular,This song is very popular at school.
traditional,We eat traditional food on holidays.
onto,The cat jumped onto the table.
to reveal,She decided to reveal her secret.
direction,Follow the direction on the map.
weapon,A sword is a type of weapon.
employee,The employee works at the store.
cultural,We learned about cultural traditions today.
to contain,This box can contain many books.
peace,We all want peace in the world.
to head,She will head to school early.
to control,You must control your emotions.
base,The base of the triangle is wide.
pain,He felt pain after he fell.
to apply,You can apply for the contest online.
play,The children love to play outside.
measure,Use a ruler to measure the line.
wide,The river is very wide here.
to shake,She began to shake from the cold.
to fly,Birds can fly very high.
interview,She had a job interview today.
to manage,Can you manage all this work?
chair,Please sit on the chair.
fish,We saw a big fish in the lake.
particular,I like this particular book a lot.
camera,I took a photo with my camera.
structure,The bridge has a strong structure.
politics,Politics can be hard to understand.
to perform,She will perform a song today.
bit,Can I have a bit of cake?
weight,The box has a lot of weight.
suddenly,Suddenly the lights went off.
to discover,We can discover new things every day.
candidate,The candidate spoke to the crowd.
top,She put the book on top.
production,The production of the play was great.
to treat,He likes to treat his friends well.
trip,We went on a trip to the beach.
evening,We had dinner in the evening.
to affect,Rain can affect our plans.
inside,The cat is inside the house.
conference,The teacher went to a conference.
unit,We studied one unit of the book.
best,She is the best student in class.
style,He has a cool style of drawing.
adult,My uncle is a responsible adult.
to worry,Do not worry about the test.
range,The store has a wide range of toys.
to mention,Did you mention the homework to her?
rather,I would rather play outside today.
far,The school is not far from here.
deep,The lake is very deep.
past,Walk past the big tree and turn left.
edge,Do not stand near the edge.
individual,Each individual student got a prize.
specific,She gave us a specific answer.
writer,My favorite writer wrote ten books.
trouble,He got into trouble at school.
necessary,It is necessary to drink water daily.
throughout,She smiled throughout the whole movie.
challenge,The game was a big challenge.
fear,He has a fear of the dark.
shoulder,She carried the bag on her shoulder.
institution,The museum is an old institution.
middle,She sat in the middle of the room.
sea,The sea is blue and beautiful.
dream,I had a funny dream last night.
bar,He ate a chocolate bar after lunch.
beautiful,The garden is very beautiful.
property,This land is private property.
instead,She chose water instead of juice.
to improve,I want to improve my English.
stuff,There is a lot of stuff on the table.
detail,She noticed every small detail.
method,This is a good method to study.
to sign,Please sign your name here.
somebody,Somebody left a bag at school.
magazine,I read a magazine about animals.
hotel,We stayed at a nice hotel.
soldier,The soldier was very brave.
to reflect,The mirror can reflect your face.
heavy,This box is very heavy.
sexual,The class talked about sexual health.
cause,Smoking can cause serious illness.
bag,She put her books in the bag.
heat,The heat of the sun is strong.
fall,Be careful; you might fall down.
marriage,Their marriage was a happy event.
tough,This meat is very tough to chew.
to sing,I love to sing happy songs.
surface,The surface of the lake is calm.
purpose,The purpose of school is to learn.
to exist,Dinosaurs used to exist long ago.
pattern,I drew a pretty pattern on paper.
whom,Whom did you call yesterday?
skin,The sun can burn your skin.
agent,The agent helped us buy a house.
owner,The owner of the dog is kind.
machine,This machine washes our clothes.
gas,The car needs gas to move.
down,The cat jumped down from the tree.
ahead,Look ahead before you cross the street.
generation,My grandparents are an older generation.
commercial,We saw a funny commercial on TV.
to address,The teacher will address the whole class.
cancer,Early treatment can help fight cancer.
to test,The teacher will test us on Friday.
item,Please check each item on the list.
reality,In reality; the earth is not flat.
coach,Our coach taught us to play well.
to step,Do not step on the wet floor.
Mrs,Mrs. Silva is our science teacher.
yard,The kids played in the yard.
to beat,Our team can beat the other team.
violence,Violence is never the right answer.
total,The total cost was ten dollars.
to tend,I tend to wake up very early.
investment,Education is a good investment in life.
discussion,We had a discussion about the book.
finger,She cut her finger while cooking.
garden,My mom grows flowers in the garden.
to notice,Did you notice the new painting?
collection,He has a big collection of cards.
modern,This is a modern and fast computer.
task,My task is to clean the classroom.
partner,My partner and I work together.
positive,She has a positive attitude every day.
civil,Be civil and kind to others.
kitchen,Mom cooks in the kitchen.
consumer,The consumer bought a new phone.
shot,The basketball shot went in.
budget,Our budget for the trip is small.
to wish,I wish for a sunny day.
painting,The painting on the wall is beautiful.
scientist,The scientist studies animals in the lab.
safe,Keep your money in a safe place.
agreement,We made an agreement to share.
capital,Brasília is the capital of Brazil.
mouth,Open your mouth at the dentist.
