to know,I want to know the answer.,saber/conhecer,Eu quero saber a resposta.,[sound:046_to_know.mp3]
will,She will come tomorrow.,vai/irá (futuro),Ela vai vir amanhã.,[sound:047_will.mp3]
as,He is as tall as a tree.,como/quanto,Ele é tão alto quanto uma árvore.,[sound:048_as.mp3]
up,The cat jumped up the tree.,para cima,O gato pulou para cima da árvore.,[sound:049_up.mp3]
one,I have one sister.,um/uma,Eu tenho uma irmã.,[sound:050_one.mp3]
time,I have no time to play.,tempo,Eu não tenho tempo para brincar.,[sound:051_time.mp3]
there,There is a cat on the roof.,lá,Lá tem um gato no telhado.,[sound:052_there.mp3]
year,This year I am ten years old.,ano,Este ano eu tenho dez anos.,[sound:053_year.mp3]
so,I was so happy at the party.,tão,Eu estava tão feliz na festa.,[sound:054_so.mp3]
to think,I think this answer is right.,pensar,Eu penso que essa resposta está certa.,[sound:055_to_think.mp3]
when,When do we eat lunch?,quando,Quando a gente almoça?,[sound:056_when.mp3]
which,Which color do you like more?,qual,Qual cor você gosta mais?,[sound:057_which.mp3]
them,I saw them at the park.,eles,Eu os vi no parque.,[sound:058_them.mp3]
some,I want some juice please.,alguns,Eu quero um pouco de suco por favor.,[sound:059_some.mp3]
me,Can you help me with this?,me,Você pode me ajudar com isso?,[sound:060_me.mp3]
people,Many people live in this city.,pessoas,Muitas pessoas moram nessa cidade.,[sound:061_people.mp3]
to take,Please take your bag to school.,pegar,Por favor pega sua mochila para a escola.,[sound:062_to_take.mp3]
out,She went out to play.,fora,Ela foi lá fora brincar.,[sound:063_out.mp3]
into,He walked into the classroom.,para dentro,Ele entrou para dentro da sala.,[sound:064_into.mp3]
just,I just ate my lunch.,só,Eu só comi meu almoço.,[sound:065_just.mp3]
to see,I want to see that film.,ver,Eu quero ver aquele filme.,[sound:066_to_see.mp3]
him,I gave him a pencil.,ele,Eu dei um lápis para ele.,[sound:067_him.mp3]
your,Is this your pencil case?,seu,Essa é a sua estojo?,[sound:068_your.mp3]
to come,Come here and sit with me.,vir,Vem aqui e senta comigo.,[sound:069_to_come.mp3]
could,Could you open the window please?,podia,Você podia abrir a janela por favor?,[sound:070_could.mp3]
now,We must leave now.,agora,A gente precisa sair agora.,[sound:071_now.mp3]
than,She is taller than her brother.,do que,Ela é mais alta do que o irmão.,[sound:072_than.mp3]
like,I like to eat fruit.,gostar,Eu gosto de comer fruta.,[sound:073_like.mp3]
other,I want the other book.,outro,Eu quero o outro livro.,[sound:074_other.mp3]
how,How do you spell your name?,como,Como se escreve o seu nome?,[sound:075_how.mp3]
then,We ate and then we played.,então,A gente comeu e então brincou.,[sound:076_then.mp3]
its,The dog hurt its paw.,seu,O cachorro machucou sua pata.,[sound:077_its.mp3]
our,This is our classroom.,nosso,Essa é a nossa sala de aula.,[sound:078_our.mp3]
two,I have two sisters.,dois,Eu tenho duas irmãs.,[sound:079_two.mp3]
more,Can I have more water please?,mais,Posso ter mais água por favor?,[sound:080_more.mp3]
these,These books are very heavy.,esses,Esses livros são muito pesados.,[sound:081_these.mp3]
to want,I want a new pencil.,querer,Eu quero um lápis novo.,[sound:082_to_want.mp3]
way,Do you know the way home?,caminho,Você sabe o caminho para casa?,[sound:083_way.mp3]
to look,Look at the blue sky.,olhar,Olha para o céu azul.,[sound:084_to_look.mp3]
first,I was first in the race.,primeiro,Eu fui o primeiro na corrida.,[sound:085_first.mp3]
also,She also likes to read books.,também,Ela também gosta de ler livros.,[sound:086_also.mp3]
new,I got a new backpack today.,novo,Eu ganhei uma mochila nova hoje.,[sound:087_new.mp3]
because,I smiled because I was happy.,porque,Eu sorri porque estava feliz.,[sound:088_because.mp3]
day,Today is a beautiful day.,dia,Hoje é um dia lindo.,[sound:089_day.mp3]
more,I want more time to play.,mais,Eu quero mais tempo para brincar.,[sound:090_more.mp3]
to use,You can use my eraser.,usar,Você pode usar minha borracha.,[sound:091_to_use.mp3]
no,There is no milk left.,não,Não tem mais leite.,[sound:092_no.mp3]
man,That man is my teacher.,homem,Aquele homem é meu professor.,[sound:093_man.mp3]
to find,I cannot find my pencil.,achar,Eu não consigo achar meu lápis.,[sound:094_to_find.mp3]
here,Come here and sit down.,aqui,Vem aqui e senta.,[sound:095_here.mp3]
thing,What is that thing over there?,coisa,O que é aquela coisa lá?,[sound:096_thing.mp3]
to give,I will give you my pen.,dar,Eu vou te dar minha caneta.,[sound:097_to_give.mp3]
many,There are many kids in school.,muitos,Tem muitas crianças na escola.,[sound:098_many.mp3]
well,She sings very well.,bem,Ela canta muito bem.,[sound:099_well.mp3]
only,I have only one brother.,só,Eu tenho só um irmão.,[sound:100_only.mp3]
those,Those books are on the table.,aqueles,Aqueles livros estão na mesa.,[sound:101_those.mp3]
to tell,Please tell me the answer.,contar,Por favor me conta a resposta.,[sound:102_to_tell.mp3]
one,I have one dog at home.,um,Eu tenho um cachorro em casa.,[sound:103_one.mp3]
very,She is very happy today.,muito,Ela está muito feliz hoje.,[sound:104_very.mp3]
her,I gave her a gift.,ela,Eu dei um presente para ela.,[sound:105_her.mp3]
even,He can even run very fast.,até,Ele consegue até correr muito rápido.,[sound:106_even.mp3]
back,She went back to school.,de volta,Ela voltou para a escola.,[sound:107_back.mp3]
any,Do you have any questions?,alguma,Você tem alguma pergunta?,[sound:108_any.mp3]
good,You did a good job today.,bom,Você fez um bom trabalho hoje.,[sound:109_good.mp3]
woman,The woman is a great teacher.,mulher,A mulher é uma ótima professora.,[sound:110_woman.mp3]
through,The cat went through the door.,através,O gato passou através da porta.,[sound:111_through.mp3]
us,She walked with us to school.,nós,Ela caminhou com nós até a escola.,[sound:112_us.mp3]
life,Life is full of surprises.,vida,A vida é cheia de surpresas.,[sound:113_life.mp3]
child,The child played in the park.,criança,A criança brincou no parque.,[sound:114_child.mp3]
there,There is a dog in the yard.,lá,Lá tem um cachorro no quintal.,[sound:115_there.mp3]
to work,My dad likes to work early.,trabalhar,Meu pai gosta de trabalhar cedo.,[sound:116_to_work.mp3]
down,The ball rolled down the hill.,para baixo,A bola rolou para baixo do morro.,[sound:117_down.mp3]
may,You may eat your snack now.,pode,Você pode comer seu lanche agora.,[sound:118_may.mp3]
after,We play after school every day.,depois,Nós brincamos depois da escola todo dia.,[sound:119_after.mp3]
should,You should drink more water.,deveria,Você deveria beber mais água.,[sound:120_should.mp3]
to call,I need to call my mom.,ligar,Eu preciso ligar para minha mãe.,[sound:121_to_call.mp3]
world,The world is a big place.,mundo,O mundo é um lugar muito grande.,[sound:122_world.mp3]
over,The game is over now.,acabou,O jogo acabou agora.,[sound:123_over.mp3]
school,I love going to school.,escola,Eu adoro ir para a escola.,[sound:124_school.mp3]
still,She is still sleeping right now.,ainda,Ela ainda está dormindo agora.,[sound:125_still.mp3]
to try,Always try your best in class.,tentar,Sempre tente fazer seu melhor na aula.,[sound:126_to_try.mp3]
in,The cat is in the box.,em,O gato está em uma caixa.,[sound:127_in.mp3]
as,She runs as fast as him.,tão,Ela corre tão rápido quanto ele.,[sound:128_as.mp3]
last,This is the last piece of cake.,último,Este é o último pedaço de bolo.,[sound:129_last.mp3]
to ask,Do not be afraid to ask.,perguntar,Não tenha medo de perguntar.,[sound:130_to_ask.mp3]
to need,I need to study for the test.,precisar,Eu preciso estudar para a prova.,[sound:131_to_need.mp3]
too,I want to come too.,também,Eu também quero ir.,[sound:132_too.mp3]
to feel,I feel happy at school.,sentir,Eu me sinto feliz na escola.,[sound:133_to_feel.mp3]
three,I have three best friends.,três,Eu tenho três melhores amigos.,[sound:134_three.mp3]
when,When do we eat lunch today?,quando,Quando nós almoçamos hoje?,[sound:135_when.mp3]
state,Each state has its own flag.,estado,Cada estado tem sua própria bandeira.,[sound:136_state.mp3]
never,I never forget my homework.,nunca,Eu nunca esqueço minha lição de casa.,[sound:137_never.mp3]
to become,She wants to become a doctor.,se tornar,Ela quer se tornar médica.,[sound:138_to_become.mp3]
between,The cat sat between the two boxes.,entre,O gato sentou entre as duas caixas.,[sound:139_between.mp3]
high,The bird flew very high.,alto,O pássaro voou muito alto.,[sound:140_high.mp3]
really,I really like chocolate ice cream.,realmente,Eu realmente adoro sorvete de chocolate.,[sound:141_really.mp3]
something,I have something to show you.,algo,Eu tenho algo para te mostrar.,[sound:142_something.mp3]
most,She got the most points today.,mais,Ela conseguiu mais pontos hoje.,[sound:143_most.mp3]
another,Can I have another piece please?,outro,Posso pegar outro pedaço por favor?,[sound:144_another.mp3]
much,I learned so much today.,muito,Eu aprendi muito hoje.,[sound:145_much.mp3]
family,My family eats dinner together.,família,Minha família janta junta.,[sound:146_family.mp3]
own,She has her own book.,próprio,Ela tem seu próprio livro.,[sound:147_own.mp3]
out,Please go out and play.,fora,Por favor vá lá fora brincar.,[sound:148_out.mp3]
to leave,We need to leave for school.,sair,Nós precisamos sair para a escola.,[sound:149_to_leave.mp3]
to put,Put your bag on the chair.,colocar,Coloque sua mochila na cadeira.,[sound:150_to_put.mp3]
old,My grandfather is very old.,velho,Meu avô é muito velho.,[sound:151_old.mp3]
while,I read while you sleep.,enquanto,Eu leio enquanto você dorme.,[sound:152_while.mp3]
to mean,What does this word mean?,significar,O que esta palavra significa?,[sound:153_to_mean.mp3]
on,The book is on the table.,em cima,O livro está em cima da mesa.,[sound:154_on.mp3]
to keep,Keep your room clean.,manter,Mantenha seu quarto limpo.,[sound:155_to_keep.mp3]
student,She is a good student.,aluno,Ela é uma boa aluna.,[sound:156_student.mp3]
why,Why are you sad today?,por que,Por que você está triste hoje?,[sound:157_why.mp3]
to let,Let me help you please.,deixar,Deixe-me ajudar você por favor.,[sound:158_to_let.mp3]
great,You did a great job!,ótimo,Você fez um trabalho ótimo!,[sound:159_great.mp3]
same,We wear the same shirt.,mesmo,Nós usamos a mesma camisa.,[sound:160_same.mp3]
big,That is a big dog.,grande,Aquele é um cachorro grande.,[sound:161_big.mp3]
group,Our group has five students.,grupo,Nosso grupo tem cinco alunos.,[sound:162_group.mp3]
to begin,We begin class at eight.,começar,Nós começamos a aula às oito.,[sound:163_to_begin.mp3]
to seem,You seem happy today.,parecer,Você parece feliz hoje.,[sound:164_to_seem.mp3]
country,Brazil is a big country.,país,O Brasil é um país grande.,[sound:165_country.mp3]
to help,Can you help me please?,ajudar,Você pode me ajudar por favor?,[sound:166_to_help.mp3]
to talk,I like to talk with friends.,falar,Eu gosto de falar com amigos.,[sound:167_to_talk.mp3]
where,Where is my red bag?,onde,Onde está minha bolsa vermelha?,[sound:168_where.mp3]
to turn,Turn left at the school.,virar,Vire à esquerda na escola.,[sound:169_to_turn.mp3]
problem,I have a small problem.,problema,Eu tenho um pequeno problema.,[sound:170_problem.mp3]
every,I brush my teeth every day.,todo,Eu escovo os dentes todo dia.,[sound:171_every.mp3]
to start,Let us start the game now.,começar,Vamos começar o jogo agora.,[sound:172_to_start.mp3]
hand,Raise your hand to answer.,mão,Levante sua mão para responder.,[sound:173_hand.mp3]
might,It might rain today.,pode,Pode chover hoje.,[sound:174_might.mp3]
American,He has an American friend.,americano,Ele tem um amigo americano.,[sound:175_american.mp3]
to show,Show me your drawing please.,mostrar,Me mostre seu desenho por favor.,[sound:176_to_show.mp3]
part,This is the best part.,parte,Esta é a melhor parte.,[sound:177_part.mp3]
about,This book is about animals.,sobre,Este livro é sobre animais.,[sound:178_about.mp3]
against,We played against another team.,contra,Nós jogamos contra outro time.,[sound:179_against.mp3]
place,This is a beautiful place.,lugar,Este é um lugar bonito.,[sound:180_place.mp3]
over,The game is over now.,terminado,O jogo está terminado agora.,[sound:181_over.mp3]
such,I never saw such beauty.,tal,Eu nunca vi tal beleza.,[sound:182_such.mp3]
again,Please say that again slowly.,de novo,Por favor diga isso de novo devagar.,[sound:183_again.mp3]
few,I have a few pencils.,poucos,Eu tenho poucos lápis.,[sound:184_few.mp3]
case,This is a special case.,caso,Este é um caso especial.,[sound:185_case.mp3]
most,Most kids like to play.,maioria,A maioria das crianças gosta de brincar.,[sound:186_most.mp3]
week,I study five days a week.,semana,Eu estudo cinco dias por semana.,[sound:187_week.mp3]
company,I work at my dad's company.,empresa,Eu trabalho na empresa do meu pai.,[sound:188_company.mp3]
where,Where do you live?,onde,Onde você mora?,[sound:189_where.mp3]
system,Our school has a good system.,sistema,Nossa escola tem um bom sistema.,[sound:190_system.mp3]
each,Each student has a book.,cada,Cada aluno tem um livro.,[sound:191_each.mp3]
right,Turn right at the corner.,direita,Vire à direita na esquina.,[sound:192_right.mp3]
program,I watch a fun TV program.,programa,Eu assisto a um programa de TV divertido.,[sound:193_program.mp3]
to hear,I can hear the birds singing.,ouvir,Eu consigo ouvir os pássaros cantando.,[sound:194_to_hear.mp3]
so,I was tired so I slept.,então,Eu estava cansado então dormi.,[sound:195_so.mp3]
question,I have one question for you.,pergunta,Eu tenho uma pergunta para você.,[sound:196_question.mp3]
during,I sleep during long car trips.,durante,Eu durmo durante longas viagens de carro.,[sound:197_during.mp3]
work,My mom goes to work early.,trabalho,Minha mãe vai ao trabalho cedo.,[sound:198_work.mp3]
to play,I love to play outside.,brincar,Eu adoro brincar lá fora.,[sound:199_to_play.mp3]
government,The government builds new schools.,governo,O governo constrói novas escolas.,[sound:200_government.mp3]
to run,I like to run in the park.,correr,Eu gosto de correr no parque.,[sound:201_to_run.mp3]
small,The cat is very small.,pequeno,O gato é muito pequeno.,[sound:202_small.mp3]
number,What is your favorite number?,número,Qual é o seu número favorito?,[sound:203_number.mp3]
off,Please turn off the light.,apagado,Por favor apague a luz.,[sound:204_off.mp3]
always,She always drinks water.,sempre,Ela sempre bebe água.,[sound:205_always.mp3]
to move,Help me move this box.,mover,Me ajude a mover esta caixa.,[sound:206_to_move.mp3]
to like,I like to eat apples.,gostar,Eu gosto de comer maçãs.,[sound:207_to_like.mp3]
night,The stars shine at night.,noite,As estrelas brilham à noite.,[sound:208_night.mp3]
to live,Fish live in the water.,viver,Os peixes vivem na água.,[sound:209_to_live.mp3]
Mr.,Mr. Brown is my teacher.,Sr.,O Sr. Brown é meu professor.,[sound:210_mr..mp3]
point,Can you point to the map?,apontar,Você pode apontar para o mapa?,[sound:211_point.mp3]
to believe,I believe you can do it.,acreditar,Eu acredito que você pode fazer.,[sound:212_to_believe.mp3]
to hold,Please hold my hand.,segurar,Por favor segure minha mão.,[sound:213_to_hold.mp3]
today,Today is a sunny day.,hoje,Hoje é um dia de sol.,[sound:214_today.mp3]
to bring,Please bring your book tomorrow.,trazer,Por favor traga seu livro amanhã.,[sound:215_to_bring.mp3]
to happen,Good things can happen today.,acontecer,Coisas boas podem acontecer hoje.,[sound:216_to_happen.mp3]
next,She sits next to me.,próximo,Ela senta próximo a mim.,[sound:217_next.mp3]
without,I cannot sleep without my pillow.,sem,Eu não consigo dormir sem meu travesseiro.,[sound:218_without.mp3]
before,Wash your hands before eating.,antes,Lave as mãos antes de comer.,[sound:219_before.mp3]
large,The elephant is a large animal.,grande,O elefante é um animal grande.,[sound:220_large.mp3]
all,All the kids are playing.,todos,Todos as crianças estão brincando.,[sound:221_all.mp3]
million,A million is a big number.,milhão,Um milhão é um número grande.,[sound:222_million.mp3]
must,You must brush your teeth.,dever,Você deve escovar os dentes.,[sound:223_must.mp3]
home,I go home after school.,casa,Eu vou para casa após a escola.,[sound:224_home.mp3]
under,The dog is under the table.,embaixo,O cachorro está embaixo da mesa.,[sound:225_under.mp3]
water,Please drink more water.,água,Por favor beba mais água.,[sound:226_water.mp3]
room,My room is very clean.,quarto,O meu quarto é muito limpo.,[sound:227_room.mp3]
to write,I like to write stories.,escrever,Eu gosto de escrever histórias.,[sound:228_to_write.mp3]
mother,My mother makes great food.,mãe,Minha mãe faz uma comida ótima.,[sound:229_mother.mp3]
area,This area has many trees.,área,Esta área tem muitas árvores.,[sound:230_area.mp3]
national,We sang the national song.,nacional,Nós cantamos a música nacional.,[sound:231_national.mp3]
money,She saved her money.,dinheiro,Ela guardou seu dinheiro.,[sound:232_money.mp3]
story,Tell me a fun story.,história,Me conte uma história divertida.,[sound:233_story.mp3]
young,The puppy is very young.,jovem,O filhote é muito jovem.,[sound:234_young.mp3]
fact,That is an interesting fact.,fato,Esse é um fato interessante.,[sound:235_fact.mp3]
month,My birthday is next month.,mês,Meu aniversário é no próximo mês.,[sound:236_month.mp3]
different,We all have different ideas.,diferente,Nós todos temos ideias diferentes.,[sound:237_different.mp3]
lot,I have a lot of books.,muito,Eu tenho muitos livros.,[sound:238_lot.mp3]
right,Turn right at the corner.,direita,Vire à direita na esquina.,[sound:239_right.mp3]
study,I study English every day.,estudar,Eu estudo inglês todos os dias.,[sound:240_study.mp3]
book,She is reading a good book.,livro,Ela está lendo um bom livro.,[sound:241_book.mp3]
eye,She has a blue eye.,olho,Ela tem um olho azul.,[sound:242_eye.mp3]
job,My dad has a good job.,trabalho,Meu pai tem um bom trabalho.,[sound:243_job.mp3]
word,I learned a new word.,palavra,Eu aprendi uma nova palavra.,[sound:244_word.mp3]
though,It is cold; I like winter though.,embora,Faz frio; mas eu gosto do inverno.,[sound:245_though.mp3]
business,She has a small business.,negócio,Ela tem um pequeno negócio.,[sound:246_business.mp3]
issue,We solved the issue together.,problema,Nós resolvemos o problema juntos.,[sound:247_issue.mp3]
side,Sit on my side please.,lado,Sente do meu lado por favor.,[sound:248_side.mp3]
kind,She is a kind person.,gentil,Ela é uma pessoa gentil.,[sound:249_kind.mp3]
four,I have four colored pencils.,quatro,Eu tenho quatro lápis coloridos.,[sound:250_four.mp3]
head,My head hurts today.,cabeça,Minha cabeça dói hoje.,[sound:251_head.mp3]
far,The school is far from here.,longe,A escola é longe daqui.,[sound:252_far.mp3]
black,The cat is black.,preto,O gato é preto.,[sound:253_black.mp3]
long,This road is very long.,longo,Esta estrada é muito longa.,[sound:254_long.mp3]
both,Both children are happy.,ambos,Ambas as crianças estão felizes.,[sound:255_both.mp3]
little,She has a little dog.,pequeno,Ela tem um cachorro pequeno.,[sound:256_little.mp3]
house,My house has three rooms.,casa,Minha casa tem três quartos.,[sound:257_house.mp3]
yes,Yes; I want more juice.,sim,Sim; eu quero mais suco.,[sound:258_yes.mp3]
after,We play after school.,depois,Nós brincamos depois da escola.,[sound:259_after.mp3]
since,I have studied since morning.,desde,Eu estudo desde a manhã.,[sound:260_since.mp3]
long,Her hair is very long.,comprido,O cabelo dela é muito comprido.,[sound:261_long.mp3]
to provide,The school will provide books.,fornecer,A escola vai fornecer livros.,[sound:262_to_provide.mp3]
service,The service here is great.,serviço,O serviço aqui é ótimo.,[sound:263_service.mp3]
around,The dog runs around the house.,ao redor,O cachorro corre ao redor da casa.,[sound:264_around.mp3]
friend,My friend likes to read.,amigo,Meu amigo gosta de ler.,[sound:265_friend.mp3]
important,Sleep is very important.,importante,O sono é muito importante.,[sound:266_important.mp3]
father,My father cooks on Sundays.,pai,Meu pai cozinha nos domingos.,[sound:267_father.mp3]
to sit,Please sit on the chair.,sentar,Por favor sente na cadeira.,[sound:268_to_sit.mp3]
away,The park is far away.,longe,O parque fica bem longe.,[sound:269_away.mp3]
until,Wait here until I return.,até,Espere aqui até eu voltar.,[sound:270_until.mp3]
power,The storm cut the power.,energia,A tempestade cortou a energia.,[sound:271_power.mp3]
hour,Class lasts one hour.,hora,A aula dura uma hora.,[sound:272_hour.mp3]
game,This game is so fun.,jogo,Este jogo é muito divertido.,[sound:273_game.mp3]
often,I often eat rice.,frequentemente,Eu frequentemente como arroz.,[sound:274_often.mp3]
yet,I have not eaten yet.,ainda,Eu ainda não comi.,[sound:275_yet.mp3]
line,Stand in a straight line.,fila,Fique em uma fila reta.,[sound:276_line.mp3]
political,It was a political speech.,político,Foi um discurso político.,[sound:277_political.mp3]
end,The movie has a sad end.,fim,O filme tem um fim triste.,[sound:278_end.mp3]
among,She is among her friends.,entre,Ela está entre seus amigos.,[sound:279_among.mp3]
ever,Have you ever seen snow?,alguma vez,Você alguma vez viu neve?,[sound:280_ever.mp3]
to stand,Please stand up now.,levantar,Por favor levante agora.,[sound:281_to_stand.mp3]
bad,Eating too much sugar is bad.,ruim,Comer muito açúcar é ruim.,[sound:282_bad.mp3]
to lose,I do not want to lose.,perder,Eu não quero perder.,[sound:283_to_lose.mp3]
however,It is hot; however it rains.,porém,Está quente; porém chove.,[sound:284_however.mp3]
member,She is a club member.,membro,Ela é membro do clube.,[sound:285_member.mp3]
to pay,I need to pay the bill.,pagar,Eu preciso pagar a conta.,[sound:286_to_pay.mp3]
law,Everyone must follow the law.,lei,Todo mundo deve seguir a lei.,[sound:287_law.mp3]
to meet,I will meet my friend today.,encontrar,Vou encontrar meu amigo hoje.,[sound:288_to_meet.mp3]
car,My father drives a red car.,carro,Meu pai dirige um carro vermelho.,[sound:289_car.mp3]
city,Our city has a big park.,cidade,Nossa cidade tem um parque grande.,[sound:290_city.mp3]
almost,Dinner is almost ready.,quase,O jantar está quase pronto.,[sound:291_almost.mp3]
to include,Please include your name here.,incluir,Por favor inclua seu nome aqui.,[sound:292_to_include.mp3]
to continue,Let us continue the story.,continuar,Vamos continuar a história.,[sound:293_to_continue.mp3]
to set,She will set the table.,colocar,Ela vai colocar a mesa.,[sound:294_to_set.mp3]
later,We can talk later.,mais tarde,Podemos conversar mais tarde.,[sound:295_later.mp3]
community,Our community is very united.,comunidade,Nossa comunidade é muito unida.,[sound:296_community.mp3]
much,I like this game very much.,muito,Eu gosto muito deste jogo.,[sound:297_much.mp3]
name,What is your name?,nome,Qual é o seu nome?,[sound:298_name.mp3]
five,I have five colored pencils.,cinco,Eu tenho cinco lápis coloridos.,[sound:299_five.mp3]
once,I read this book once.,uma vez,Eu li este livro uma vez.,[sound:300_once.mp3]
white,The white cat is very cute.,branco,O gato branco é muito fofo.,[sound:301_white.mp3]
least,She has at least two pencils.,pelo menos,Ela tem pelo menos dois lápis.,[sound:302_least.mp3]
president,The president lives in a big house.,presidente,O presidente mora em uma casa grande.,[sound:303_president.mp3]
to learn,I want to learn English.,aprender,Eu quero aprender inglês.,[sound:304_to_learn.mp3]
real,This is a real diamond.,real,Este é um diamante real.,[sound:305_real.mp3]
to change,I need to change my shirt.,mudar,Eu preciso mudar minha camisa.,[sound:306_to_change.mp3]
team,Our team won the game.,time,Nosso time ganhou o jogo.,[sound:307_team.mp3]
minute,Wait just one minute please.,minuto,Espere só um minuto por favor.,[sound:308_minute.mp3]
best,She is the best student in class.,melhor,Ela é a melhor aluna da turma.,[sound:309_best.mp3]
several,I read several books this month.,vários,Eu li vários livros este mês.,[sound:310_several.mp3]
idea,That is a great idea!,ideia,Essa é uma ótima ideia!,[sound:311_idea.mp3]
kid,Every kid loves ice cream.,criança,Toda criança ama sorvete.,[sound:312_kid.mp3]
body,Exercise is good for your body.,corpo,Exercício é bom para o seu corpo.,[sound:313_body.mp3]
information,I need more information about this.,informação,Eu preciso de mais informação sobre isso.,[sound:314_information.mp3]
nothing,There is nothing in the box.,nada,Não há nada na caixa.,[sound:315_nothing.mp3]
ago,We met two years ago.,atrás,Nos conhecemos dois anos atrás.,[sound:316_ago.mp3]
right,Turn right at the school.,direita,Vire à direita na escola.,[sound:317_right.mp3]
to lead,She will lead our group today.,liderar,Ela vai liderar nosso grupo hoje.,[sound:318_to_lead.mp3]
social,He has good social skills.,social,Ele tem boas habilidades sociais.,[sound:319_social.mp3]
to understand,I do not understand this question.,entender,Eu não consigo entender esta pergunta.,[sound:320_to_understand.mp3]
whether,I don't know whether it will rain.,se,Não sei se vai chover.,[sound:321_whether.mp3]
back,Please sit in the back row.,fundo,Por favor sente na fileira do fundo.,[sound:322_back.mp3]
to watch,I like to watch funny movies.,assistir,Eu gosto de assistir filmes engraçados.,[sound:323_to_watch.mp3]
together,We work better together.,juntos,Nós trabalhamos melhor juntos.,[sound:324_together.mp3]
to follow,Follow the teacher to the library.,seguir,Siga a professora até a biblioteca.,[sound:325_to_follow.mp3]
around,The dog runs around the yard.,ao redor,O cachorro corre ao redor do quintal.,[sound:326_around.mp3]
