"importance"|"She stressed the importance of eating breakfast."|"A woman pointing firmly at a table full of breakfast foods while a child listens attentively, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"important"|"It's important to drink water throughout the day."|"A child holding a water bottle with a big reminder note on the wall saying drink water, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"importantly"|"More importantly, you need to get enough sleep."|"A person in bed with an alarm clock and a glowing star above the pillow emphasizing good sleep, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"impossible"|"It's impossible to focus with all this noise."|"A student at a desk covering their ears while loud music jackhammers and shouting surround them, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"impression"|"He made a great impression at the job interview."|"A smiling man in a suit shaking hands confidently with an interviewer across a desk, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"impressive"|"Her performance was truly impressive."|"A girl on a stage bowing while a crowd stands and claps enthusiastically under bright spotlights, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"improved"|"The improved design is much easier to use."|"Two phones side by side with the newer sleeker one being used effortlessly by a happy person, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"improvement"|"There's been a clear improvement in his grades."|"A boy holding two report cards showing low grades before and high grades now with a big smile, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"impulse"|"She bought the shoes on impulse."|"A woman at a shoe store grabbing a pair of sparkly shoes off the shelf without thinking, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"in"|"The keys are in the drawer."|"A hand opening a wooden drawer to reveal a set of keys sitting inside it, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"in"|"Come in, the door is open."|"A person at an open front door waving a friend inside a cozy bright house, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"in"|"I'll call you in case anything changes."|"A person holding a phone with a speech bubble showing a ringing phone and a question mark, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"incentive"|"The bonus is a great incentive to work harder."|"A happy worker at a desk eyeing a big bonus check pinned to a board above their computer, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"incident"|"A strange incident happened at school today."|"Students and a teacher gathered in a school hallway looking surprised at something unusual on the floor, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"including"|"Everyone came, including the new students."|"A cheerful group of students at a party with two shy newcomers being welcomed into the circle, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"income"|"Her income isn't enough to cover the rent."|"A worried woman comparing a small stack of coins to a large rent bill on a table, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"increase"|"There was a big increase in prices this month."|"A shopkeeper pointing to a price tag on a shelf with a large upward arrow showing higher cost, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"increased"|"She noticed increased energy after changing her diet."|"A woman jumping energetically in a kitchen surrounded by fresh fruits and vegetables on the counter, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"increasing"|"There's increasing pressure on students to perform well."|"A student at a desk surrounded by growing stacks of books and papers piling up, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"increasingly"|"It's becoming increasingly difficult to find parking downtown."|"A frustrated driver circling a crowded downtown street with no parking spaces available, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"incredible"|"The view from the top was incredible."|"A person standing at a mountain peak with arms wide open looking at a breathtaking landscape below, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"incredibly"|"The movie was incredibly boring."|"A person slumped in a movie theater seat yawning with heavy drooping eyelids, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"indeed"|"It is indeed a very serious problem."|"Two adults standing together looking gravely at a large cracked wall with a warning sign, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"independence"|"She values her independence and lives alone."|"A happy woman sitting alone in a cozy apartment smiling while reading a book, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"independent"|"He's very independent and handles everything on his own."|"A man confidently fixing a shelf cooking and doing laundry all by himself at home, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"index"|"Look up the topic in the index at the back of the book."|"A child opening the last pages of a thick book pointing at an index list of words, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"Indian"|"Indian food is known for its bold spices."|"A table filled with colorful Indian dishes surrounded by vivid spice jars and bowls, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"Indian"|"She's an Indian who moved to the US for college."|"A young Indian woman with luggage smiling in front of an American university building, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"indication"|"There's no indication that the situation will improve soon."|"A person staring at a blank chart on a wall with a question mark and no upward arrow, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"indicator"|"Low energy can be an indicator of poor sleep."|"A tired person slouching at a desk with dark circles and a sleep chart showing poor rest, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"indigenous"|"The museum features indigenous art from the Amazon region."|"Colorful indigenous paintings and crafts displayed on museum walls with Amazon jungle motifs, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"individual"|"Each individual has the right to make their own choices."|"Several different people each standing alone on their own path making different choices, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"individual"|"Each individual student received personalized feedback."|"A teacher handing a different paper with comments to each student sitting at separate desks, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"industrial"|"The city grew quickly during the industrial revolution."|"A city skyline growing rapidly with tall factory smokestacks and busy workers in old times, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"industry"|"She built a career in the music industry."|"A woman standing confidently on a stage holding a microphone in a recording studio setting, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"inevitable"|"Change is inevitable in any growing company."|"A small company building transforming and expanding with workers adding new floors and signs, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"inevitably"|"If you don't rest, you'll inevitably get sick."|"An exhausted person ignoring a bed and then lying sick under blankets in the next scene, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"infant"|"The infant cried every two hours during the night."|"A tiny baby crying in a crib at night while a tired parent checks the clock again, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"infection"|"The doctor said it was a minor ear infection."|"A doctor examining a child's red ear with an otoscope in a bright clinic room, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"inflation"|"Inflation made groceries much more expensive this year."|"A shocked shopper looking at high price tags on grocery items at a supermarket shelf, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"influence"|"Her teacher had a huge influence on her career choice."|"A teacher pointing to career options on a board while a student listens with wide inspired eyes, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"influential"|"He became one of the most influential designers of his generation."|"A designer surrounded by admiring younger designers looking at his celebrated work on display, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"informal"|"The meeting was informal, so we just chatted over coffee."|"A small group of colleagues sitting casually around a table laughing and holding coffee cups, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"information"|"I need more information before I make a decision."|"A person sitting at a desk surrounded by open books and papers looking thoughtful before deciding, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"infrastructure"|"The city needs to invest in better infrastructure."|"A city with crumbling roads and broken bridges while workers hold blueprints for repairs, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"ingredient"|"What's the secret ingredient in this sauce?"|"A chef holding a small mysterious bottle over a bubbling pot with a curious expression, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"inherent"|"There are inherent risks in any surgical procedure."|"A surgeon in an operating room with a caution symbol visible above the operating table, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"initial"|"My initial reaction was complete surprise."|"A person opening a gift box with a huge surprised expression and wide open eyes and mouth, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"initially"|"Initially, I didn't like coffee, but now I love it."|"A person frowning at a coffee cup on the left, then smiling at it on the right, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"initiative"|"She took the initiative and called the client first."|"A confident woman at a desk picking up a phone to make a call first, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"injury"|"He got a knee injury during the game."|"A soccer player sitting on a field holding his injured knee during a game, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"inmate"|"The inmate was released after five years."|"A man in a prison uniform walking out through open jail gates into sunlight, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"inner"|"She kept her inner thoughts to herself."|"A girl with a thought bubble full of images visible only to her, hugging it close, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"innocent"|"The jury found her innocent."|"A woman standing in a courtroom smiling as a jury holds up a not guilty sign, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"innovation"|"This product is a real innovation in the market."|"A glowing new product on a store shelf surrounded by amazed shoppers pointing at it, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"innovative"|"They came up with an innovative solution to the problem."|"A team of people at a whiteboard with a bright lightbulb and a creative diagram, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"input"|"We need your input before we make a decision."|"A group around a table looking at one person speaking and sharing their idea, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"inquiry"|"She made an inquiry about the job opening."|"A woman at a reception desk asking about a job posting on the wall behind the clerk, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"insect"|"There's an insect on your arm."|"A child looking surprised at a small green insect sitting on their arm, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"inside"|"Put the keys inside the drawer."|"A hand placing a set of keys inside an open wooden drawer in a table, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"inside"|"It's raining. Let's go inside."|"Two children running through the rain toward an open front door of a cozy house, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"inside"|"The inside of the car was very clean."|"A view from inside a spotless tidy car showing clean seats and dashboard, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"insight"|"The book gave me great insight into human behavior."|"A person reading a book with lightbulbs and small people figures floating above the pages, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"inspection"|"The restaurant failed the health inspection."|"An inspector with a clipboard frowning and marking an X at a restaurant kitchen, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"inspector"|"The inspector checked every room in the building."|"A uniformed inspector with a clipboard walking through rooms of a building checking each one, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"inspiration"|"Nature is her main source of inspiration."|"A woman sitting outdoors in nature painting on a canvas surrounded by trees and flowers, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"installation"|"The installation of the new software took an hour."|"A person at a computer watching a software loading bar slowly filling on the screen, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"instance"|"In this instance, I think you're right."|"Two people talking at a table with one nodding in agreement pointing to a specific document, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"instant"|"I need an instant answer."|"A person urgently pointing at a clock demanding a quick reply from someone across a desk, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"instant"|"It was ready in an instant."|"A dish appearing on a table in a flash of light with a surprised happy chef nearby, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"instantly"|"She instantly recognized his voice."|"A woman on the phone with a big smile of recognition the moment she hears a voice, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"instead"|"I don't want coffee. I'll have tea instead."|"A person pushing away a coffee cup and reaching happily for a steaming cup of tea, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"instead"|"Instead of driving, we took the subway."|"Two people walking into a subway station with a car left parked outside behind them, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"instinct"|"Her instinct told her something was wrong."|"A woman pausing at a door with a worried expression and a gut feeling thought bubble, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"institution"|"The university is a respected institution in this city."|"A grand university building with students walking in front under a bright blue sky, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"institutional"|"The report revealed serious institutional problems."|"A person holding a report with red warning marks in front of a large official building, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"instruction"|"Read the instructions before using the device."|"A person carefully reading a folded instruction manual next to a new electronic device, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"instructional"|"She created an instructional video for beginners."|"A woman recording herself at a desk explaining steps shown on a whiteboard for beginners, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"instructor"|"The instructor explained the exercise clearly."|"A fitness instructor pointing at a whiteboard with exercise diagrams while students watch, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"instrument"|"He plays three instruments: guitar, piano, and drums."|"A boy playing guitar next to a piano and a drum set in a colorful music room, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"insurance"|"Do you have health insurance?"|"A smiling person handing a health insurance card to a doctor at a clinic reception desk, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"intact"|"The package arrived completely intact."|"A smiling delivery person holding an undamaged brown cardboard box at a front door, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"integrated"|"The new system is fully integrated with our app."|"A computer screen and a smartphone showing connected apps with glowing linking arrows between them, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"integration"|"The integration of the two teams took some time."|"Two groups of office workers gradually merging into one big smiling team around a table, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"integrity"|"He's known for his honesty and integrity."|"A man shaking hands firmly with a smile, a golden star and a heart glowing above him, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"intellectual"|"She enjoys intellectual conversations."|"Two women at a cafe table talking enthusiastically surrounded by floating books and light bulbs, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"intellectual"|"He's considered a leading intellectual in his field."|"A distinguished man at a podium with books and a diploma on the wall behind him, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"intelligence"|"The agency gathered intelligence on the suspect."|"A detective at a desk studying files and photos pinned to a board about a suspect, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"intelligent"|"She's one of the most intelligent students in the class."|"A girl at her school desk raising her hand confidently surrounded by impressed classmates, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"intense"|"The heat was so intense we had to go inside."|"Two children rushing indoors from a blazing sun with heat waves shimmering in the air, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"intensity"|"The intensity of the storm surprised everyone."|"People looking shocked through a window at a violent storm with heavy rain and lightning outside, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"intent"|"His intent was to help, not to cause problems."|"A man smiling and offering a helping hand to someone who has dropped their groceries, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"intention"|"I have no intention of quitting."|"A determined person standing firmly with arms crossed in front of a finish line banner, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"interaction"|"The interaction between the two characters is very funny."|"Two cartoon characters on a stage making each other laugh with exaggerated funny expressions, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"interest"|"She has a strong interest in photography."|"A girl holding a camera up eagerly with photos and photography books spread around her, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"interested"|"Are you interested in joining the project?"|"A person leaning forward with wide curious eyes while someone presents a project on a board, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"interesting"|"That's a really interesting idea."|"A person sharing an idea with a glowing light bulb above while a friend listens with wide amazed eyes, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"interior"|"The interior of the house needs painting."|"A person standing inside a house looking at bare unpainted walls holding a paint roller, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"interior"|"The interior of the car needs cleaning."|"A person leaning inside a messy car with a cloth cleaning the seats and dashboard, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"internal"|"She had some internal bleeding after the fall."|"A doctor pointing to an X-ray image on a screen showing the inside of a body after a fall, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"international"|"She got a job at an international company."|"A woman smiling at a desk in a modern office with flags from many countries on the wall, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"Internet"|"I pay most of my bills on the Internet."|"A person sitting at a laptop paying bills online with utility bill icons on the screen, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"interpretation"|"His interpretation of the song was beautiful."|"A man singing on a stage with eyes closed and hands on his heart moving the audience, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"interval"|"There's a ten-minute interval between the two sets."|"Concert audience chatting and stretching in a theater lobby during a break between two performances, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"intervention"|"The doctor said early intervention is key."|"A doctor talking to a patient early in a clinic visit with a calendar showing an early date, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"interview"|"She has a job interview tomorrow morning."|"A nervous woman in smart clothes sitting across from an interviewer at an office desk, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"intimate"|"They had an intimate dinner at home."|"A couple sharing a candlelit dinner at a small table set for two inside a cozy home, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"into"|"She walked into the room quietly."|"A woman tiptoeing carefully through an open doorway into a softly lit quiet room, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"introduction"|"The introduction of the book explains everything."|"A child opening a book to the first page titled Introduction, reading at a desk, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"invasion"|"The invasion caused widespread destruction."|"A army of soldiers marching into a town leaving broken buildings behind them, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"invention"|"The invention of the telephone changed everything."|"A happy inventor holding up the very first telephone in a cluttered workshop, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"inventory"|"We need to do a full inventory this weekend."|"Two workers counting boxes on warehouse shelves and writing on clipboards, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"investigation"|"The police opened an investigation into the case."|"A police officer at a desk opening a case file with a magnifying glass nearby, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"investigator"|"The investigator interviewed all the witnesses."|"A serious investigator sitting across from a witness at a table taking notes, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"investment"|"Buying that house was a smart investment."|"A smiling couple standing proudly in front of a house with a sold sign, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"investor"|"The investor put money into several startups."|"A businessperson handing bags of money to small startup teams at different desks, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"invisible"|"The stain is almost invisible on dark fabric."|"A person holding up a dark piece of cloth squinting to find a nearly invisible stain, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"invitation"|"Did you get the invitation to her wedding?"|"A person holding an elegant wedding invitation envelope with a big smile, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"involved"|"He's involved in a big project at work."|"A man surrounded by coworkers at a large table covered in project plans and charts, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"involvement"|"Her involvement in the community is inspiring."|"A woman organizing a community event with neighbors planting trees in a park, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"Iraqi"|"The Iraqi capital is Baghdad."|"A colorful illustrated map highlighting Iraq with Baghdad marked by a bright star, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"Irish"|"She has an Irish accent."|"A red-haired woman in Ireland speaking cheerfully with rolling green hills behind her, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"iron"|"Could you pass me the iron? My shirt is wrinkled."|"A person handing a clothes iron to someone holding a wrinkled shirt on an ironing board, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"ironically"|"Ironically, the fire station burned down."|"A fire station building on fire while firefighters stand outside looking surprised, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"irony"|"The irony is that he was afraid of dogs and adopted three."|"A frightened man surrounded by three happy dogs he just adopted sitting on his lap, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"Islam"|"Islam is one of the world's major religions."|"A beautiful mosque with a crescent moon and star symbol glowing under a colorful sky, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"Islamic"|"They visited an Islamic cultural center."|"Two tourists smiling outside a decorated Islamic cultural center with ornate arched doors, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"island"|"We spent a week on a small island."|"Two happy people relaxing on a tiny tropical island surrounded by bright blue water, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"isolated"|"The cabin is isolated from the nearest town."|"A small wooden cabin alone in the middle of a vast forest far from any town, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"isolation"|"Long isolation can affect your mental health."|"A sad person sitting alone in an empty room with windows showing a sunny world outside, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"Israeli"|"The Israeli team won the match."|"A soccer team in blue and white jerseys celebrating a victory on a sports field, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"Israeli"|"Two Israelis were at the conference."|"Two people wearing name badges standing together at a conference room presentation table, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"issue"|"Money is the main issue in their relationship."|"A couple sitting at a table looking stressed with empty wallets and unpaid bills between them, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"it"|"It is raining outside."|"A rainy window with heavy raindrops streaming down the glass and dark clouds outside, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"Italian"|"She loves Italian food, especially pasta."|"A happy woman twirling a fork full of pasta at a table with Italian food around her, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"item"|"There's one more item on the shopping list."|"A person looking at a shopping list with one last item circled inside a grocery store, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"its"|"The dog wagged its tail."|"A happy dog wagging its fluffy tail enthusiastically while standing on a green lawn, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"itself"|"The cat cleaned itself after eating."|"A cat sitting beside an empty food bowl carefully licking its paw to clean itself, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"jacket"|"Don't forget your jacket — it's cold outside."|"A child grabbing a jacket from a hook near a door while snow falls outside, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"jail"|"He spent two years in jail."|"A sad man sitting inside a jail cell with iron bars and a small window, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"Japanese"|"She's studying Japanese cooking techniques."|"A woman reading a cookbook with Japanese symbols while preparing food in a kitchen, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"Japanese"|"Two Japanese were sitting next to us on the flight."|"Two smiling Japanese passengers sitting in airplane seats next to another passenger, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"jar"|"There's a jar of peanut butter in the cabinet."|"A glass jar of peanut butter sitting inside an open kitchen cabinet, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"jaw"|"She broke her jaw in the accident."|"A woman at a hospital with a bandaged jaw looking sad after an accident, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"jazz"|"They listened to jazz at a small bar downtown."|"Two people sitting at a cozy bar listening to a jazz musician playing trumpet on stage, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"jeans"|"He always wears jeans to work on Fridays."|"A smiling man in blue jeans walking into an office building on a sunny Friday, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"jet"|"They took a private jet to Los Angeles."|"Two people boarding a sleek white private jet on a sunny airport runway, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"Jew"|"Her grandmother was a Jew who survived the war."|"An elderly grandmother showing a family photo to her grandchild in a warm living room, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"jewelry"|"She wore gold jewelry to the wedding."|"A smiling woman wearing gold necklace and earrings at a festive wedding ceremony, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"Jewish"|"My neighbor celebrates Jewish holidays."|"A neighbor lighting a menorah in a window during a festive Jewish holiday celebration, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
