metropolitan,We live in a metropolitan area.,metropolitano,Vivemos em uma área metropolitana.
rolling,The ball is rolling down the hill.,rolando,A bola está rolando morro abaixo.
aesthetic,The room has a nice aesthetic.,estético,O quarto tem um visual bonito.
to spell,Can you spell your name?,soletrar,Você consegue soletrar seu nome?
to insert,Please insert the card here.,inserir,Por favor; insira o cartão aqui.
booth,We sat in a booth at the restaurant.,cabine,Nos sentamos em uma cabine no restaurante.
helmet,Always wear a helmet when biking.,capacete,Sempre use capacete ao andar de bicicleta.
waist,The belt goes around your waist.,cintura,O cinto vai ao redor da sua cintura.
expected,She expected a gift on her birthday.,esperava,Ela esperava um presente no seu aniversário.
lion,The lion is called the king of animals.,leão,O leão é chamado de rei dos animais.
accomplishment,Finishing school is a great accomplishment.,conquista,Terminar a escola é uma grande conquista.
royal,The royal family lives in a castle.,real,A família real vive em um castelo.
panic,Do not panic during the fire drill.,pânico,Não entre em pânico durante o simulacro de incêndio.
cast,The doctor put a cast on my arm.,gesso,O médico colocou um gesso no meu braço.
to crush,I like to crush ice in my drink.,esmagar,Eu gosto de esmagar gelo na minha bebida.
actively,She actively participates in every class.,ativamente,Ela participa ativamente de todas as aulas.
cliff,The bird sat on the cliff.,falésia,O pássaro ficou na falésia.
minimal,Use minimal paint on the paper.,mínimo,Use tinta mínima no papel.
cord,The lamp cord is too short.,fio,O fio da lâmpada é muito curto.
fortunately,Fortunately; nobody was hurt in the fall.,felizmente,Felizmente; ninguém se machucou na queda.
cocaine,Cocaine is a dangerous illegal drug.,cocaína,A cocaína é uma droga ilegal e perigosa.
illusion,The magic trick was a clever illusion.,ilusão,O truque de mágica era uma ilusão inteligente.
anonymous,The donor wished to remain anonymous.,anônimo,O doador desejou permanecer anônimo.
to tolerate,We must tolerate different opinions.,tolerar,Devemos tolerar opiniões diferentes.
appreciation,She showed appreciation for the gift.,gratidão,Ela mostrou gratidão pelo presente.
commissioner,The commissioner signed the new rule.,comissário,O comissário assinou a nova regra.
to harm,We should never harm animals.,prejudicar,Nunca devemos prejudicar os animais.
flexibility,Yoga improves your flexibility a lot.,flexibilidade,O ioga melhora muito a sua flexibilidade.
instructional,Watch the instructional video first.,instrucional,Assista primeiro ao vídeo instrucional.
to scramble,We had to scramble up the hill.,escalar,Tivemos que escalar o morro rapidamente.
casino,Adults can play games at a casino.,cassino,Adultos podem jogar em um cassino.
tumor,The doctor found a tumor in the scan.,tumor,O médico encontrou um tumor no exame.
to decorate,We love to decorate the Christmas tree.,decorar,Nós adoramos decorar a árvore de Natal.
to sort,Please sort the cards by color.,separar,Por favor; separe as cartas por cor.
charge,The phone needs a charge right now.,carga,O celular precisa de carga agora.
pulse,The nurse checked my pulse quickly.,pulso,A enfermeira verificou meu pulso rapidamente.
equivalent,One kilometer is equivalent to one thousand meters.,equivalente,Um quilômetro é equivalente a mil metros.
fixed,Dad fixed the broken chair today.,consertado,Papai consertou a cadeira quebrada hoje.
experienced,She is an experienced swimming teacher.,experiente,Ela é uma professora de natação experiente.
donation,He made a donation to the school.,doação,Ele fez uma doação para a escola.
diary,She writes in her diary every night.,diário,Ela escreve em seu diário toda noite.
sibling,My sibling and I share a room.,irmão,Meu irmão e eu dividimos um quarto.
irony,The irony is that he missed the bus.,ironia,A ironia é que ele perdeu o ônibus.
spoon,Use a spoon to eat the soup.,colher,Use uma colher para comer a sopa.
midst,She stood in the midst of the crowd.,meio,Ela estava no meio da multidão.
alley,The cat ran down the dark alley.,beco,O gato correu pelo beco escuro.
upset,He was upset when he lost the game.,chateado,Ele ficou chateado quando perdeu o jogo.
to interact,Students interact with each other in class.,interagir,Os alunos interagem entre si na aula.
soap,Always wash your hands with soap.,sabão,Sempre lave as mãos com sabão.
cute,The puppy is very cute and small.,fofo,O filhote é muito fofo e pequeno.
rival,Our rival team played very well.,rival,O nosso time rival jogou muito bem.
short-term,This is a short-term solution only.,de curto prazo,Esta é apenas uma solução de curto prazo.
to punch,Never punch someone at school.,socar,Nunca socar alguém na escola.
pin,She used a pin to fix the paper.,alfinete,Ela usou um alfinete para prender o papel.
hockey,We played hockey after school today.,hóquei,Jogamos hóquei depois da escola hoje.
passing,She gave a passing glance at the board.,passageiro,Ela deu um olhar passageiro para o quadro.
to persist,You must persist even when things are hard.,persistir,Você deve persistir mesmo quando as coisas são difíceis.
supplier,The supplier delivered the boxes on time.,fornecedor,O fornecedor entregou as caixas no prazo.
known,She is known for her kind heart.,conhecido,Ela é conhecida pelo seu coração bondoso.
momentum,The ball gained momentum going downhill.,impulso,A bola ganhou impulso descendo o morro.
purse,She put her keys in her purse.,bolsa,Ela colocou as chaves na bolsa.
to shed,Snakes shed their skin every year.,trocar de pele,Cobras trocam de pele todo ano.
liquid,Water is a liquid you drink every day.,líquido,A água é um líquido que você bebe todo dia.
icon,The heart icon means love.,ícone,O ícone de coração significa amor.
elephant,The elephant is the biggest land animal.,elefante,O elefante é o maior animal terrestre.
consequently,He did not study; consequently he failed.,consequentemente,Ele não estudou; consequentemente ele foi reprovado.
legislature,The legislature makes the laws of the country.,legislatura,A legislatura faz as leis do país.
associate,We associate green with nature.,associar,Nós associamos o verde à natureza.
franchise,That burger shop is a famous franchise.,franquia,Aquela hamburgueria é uma franquia famosa.
correctly,She answered the question correctly.,corretamente,Ela respondeu a pergunta corretamente.
mentally,He is mentally very strong.,mentalmente,Ele é mentalmente muito forte.
to foster,Good teachers foster a love of reading.,promover,Bons professores promovem o amor pela leitura.
bicycle,She rides her bicycle to school.,bicicleta,Ela vai de bicicleta para a escola.
encouraging,Her smile was very encouraging.,encorajador,O sorriso dela foi muito encorajador.
to cheat,It is wrong to cheat on a test.,colar,É errado colar em uma prova.
to access,You need a password to access this site.,acessar,Você precisa de uma senha para acessar este site.
to heal,Rest helps your body heal faster.,curar,O descanso ajuda seu corpo a curar mais rápido.
fever,She stayed home because she had a fever.,febre,Ela ficou em casa porque estava com febre.
filter,The filter keeps the water clean.,filtro,O filtro mantém a água limpa.
rabbit,The rabbit has very long ears.,coelho,O coelho tem orelhas muito compridas.
coin,He found a coin on the floor.,moeda,Ele encontrou uma moeda no chão.
to exploit,We should not exploit natural resources.,explorar,Não devemos explorar os recursos naturais.
accessible,The park is accessible to everyone.,acessível,O parque é acessível a todos.
organism,A bacterium is a very tiny organism.,organismo,Uma bactéria é um organismo muito pequeno.
sensation,Swimming gives me a great sensation.,sensação,Nadar me dá uma ótima sensação.
partially,The homework is only partially done.,parcialmente,O dever de casa está apenas parcialmente feito.
stay,Please stay here with me.,ficar,Por favor fica aqui comigo.
upstairs,My bedroom is upstairs.,no andar de cima,Meu quarto fica no andar de cima.
dried,She ate dried mango as a snack.,seco,Ela comeu manga seca como lanche.
minimum,Drink a minimum of eight glasses of water.,mínimo,Beba no mínimo oito copos de água.
pro,He plays soccer like a pro.,profissional,Ele joga futebol como um profissional.
conservation,Conservation protects animals and forests.,conservação,A conservação protege animais e florestas.
to shove,Do not shove people in the hallway.,empurrar,Não empurre as pessoas no corredor.
backyard,The kids played in the backyard all day.,quintal,As crianças brincaram no quintal o dia todo.
charter,The school has a charter with clear rules.,estatuto,A escola tem um estatuto com regras claras.
stove,Mom cooked soup on the stove.,fogão,A mamãe fez sopa no fogão.
consent,You need your parents consent to go.,consentimento,Você precisa do consentimento dos seus pais para ir.
to comprise,The team comprises ten players.,ser composto por,O time é composto por dez jogadores.
reminder,She set a reminder to take her medicine.,lembrete,Ela criou um lembrete para tomar o remédio.
alike,The twin sisters look very alike.,parecido,As irmãs gêmeas são muito parecidas.
placement,His placement in the group was fair.,colocação,A colocação dele no grupo foi justa.
dough,She mixed flour and water to make dough.,massa,Ela misturou farinha e água para fazer a massa.
grandchild,He reads stories to his grandchild.,neto,Ele lê histórias para o seu neto.
dam,The dam holds a lot of water.,represa,A represa retém muita água.
reportedly,The singer is reportedly very kind.,segundo consta,Segundo consta o cantor é muito gentil.
well-known,That author is well-known around the world.,bem conhecido,Esse autor é bem conhecido no mundo todo.
surrounding,The surrounding forest is full of birds.,ao redor,A floresta ao redor está cheia de pássaros.
ecological,We need to make ecological choices.,ecológico,Precisamos fazer escolhas ecológicas.
outfit,She wore a beautiful outfit to the party.,roupa,Ela usou uma roupa linda na festa.
unprecedented,The storm caused unprecedented damage.,sem precedentes,A tempestade causou danos sem precedentes.
columnist,The columnist writes about science weekly.,colunista,A colunista escreve sobre ciência semanalmente.
workout,I do my workout every morning.,treino,Eu faço meu treino toda manhã.
preliminary,This is a preliminary test for the game.,preliminar,Este é um teste preliminar para o jogo.
patent,The inventor got a patent for his idea.,patente,O inventor obteve uma patente para sua ideia.
shy,She is too shy to speak in class.,tímida,Ela é muito tímida para falar em aula.
quote,He wrote a quote from his favorite book.,citação,Ele escreveu uma citação do seu livro favorito.
trash,Please put the trash in the bin.,lixo,Por favor coloque o lixo na lixeira.
disabled,The disabled boy uses a wheelchair every day.,deficiente,O menino deficiente usa cadeira de rodas todo dia.
gross,That smell is really gross and awful.,nojento,Aquele cheiro é muito nojento e horrível.
damn,He said damn when he dropped his phone.,droga,Ele disse droga quando deixou o celular cair.
hormone,A hormone helps your body grow and change.,hormônio,Um hormônio ajuda seu corpo a crescer e mudar.
texture,The texture of this cake is very soft.,textura,A textura deste bolo é muito suave.
to counter,He tried to counter her argument in class.,rebater,Ele tentou rebater o argumento dela em aula.
pencil,She drew a house with her pencil.,lápis,Ela desenhou uma casa com seu lápis.
associate,He is my associate in the school project.,parceiro,Ele é meu parceiro no projeto da escola.
